"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","fico_range_low","fico_range_high","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","last_fico_range_high","last_fico_range_low","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_act_il","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_fico_range_low","sec_app_fico_range_high","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_act_il","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount","debt_settlement_flag","debt_settlement_flag_date","settlement_status","settlement_date","settlement_amount","settlement_percentage","settlement_term"
"159575048","","10000","10000","10000"," 36 months","  7.02%","308.87","A","A2","Financial Management Specialist","10+ years","MORTGAGE","122500","Source Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159575048","","debt_consolidation","Debt consolidation","206xx","MD","19.05","0","Nov-2003","685","689","2","57","","12","0","23016","53.5%","27","w","9244.49","9244.49","922.71","922.71","755.51","167.20","0.0","0.0","0.0","Dec-2019","308.87","Jan-2020","Nov-2019","709","705","0","","1","Individual","","","","0","0","719242","7","3","3","3","2","92253","98","2","2","10952","84","43000","3","7","8","7","59937","15520","59.5","0","0","115","190","1","1","6","1","","1","","0","6","7","6","6","11","8","10","7","12","0","0","0","7","96.2","33.3","0","0","744661","115269","38300","94563","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159594970","","26575","26575","26575"," 60 months"," 20.55%","712.24","D","D2","","n/a","MORTGAGE","153000","Not Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159594970","","home_improvement","Home improvement","604xx","IL","14.07","3","Jan-1991","690","694","0","10","","7","0","8528","64.1%","20","w","25790.28","25790.28","2106.38","2106.38","784.72","1321.66","0.0","0.0","0.0","Dec-2019","712.24","Jan-2020","Nov-2019","704","700","0","12","1","Joint App","246000","13.79","Not Verified","0","0","69405","0","2","0","1","16","18957","65","1","2","4501","64","13300","1","0","1","3","9915","1799","71.4","0","0","64","344","9","9","1","9","34","11","10","2","1","2","3","9","2","4","17","2","7","0","0","1","1","55","33.3","0","0","134100","27485","6300","56855","44116","690","694","Jan-1991","4","1","19","58.7","3","31","0","0","32","N","","","","","","","","","","","","","","","N","","","","","",""
"159596793","","11000","11000","11000"," 36 months","  6.46%","336.94","A","A1","Surgical scheduling coordinator","10+ years","OWN","43100","Source Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159596793","","credit_card","Credit card refinancing","152xx","PA","15.29","0","May-2006","695","699","0","69","","10","0","9550","45.5%","15","w","10162.34","10162.34","1006.87","1006.87","837.66","169.21","0.0","0.0","0.0","Dec-2019","336.94","Jan-2020","Nov-2019","704","700","0","69","1","Individual","","","","0","0","9800","3","1","0","0","34","250","3","4","6","7443","33","21000","0","0","0","6","980","8205","53.6","0","0","155","160","1","1","0","1","69","","69","3","7","8","7","10","3","9","12","8","10","0","0","0","4","73.3","28.6","0","0","30001","9800","17700","9001","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159604555","","15000","15000","15000"," 60 months"," 16.12%","365.73","C","C3","Driver","1 year","MORTGAGE","27543","Not Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159604555","","debt_consolidation","Debt consolidation","063xx","CT","25.01","0","Sep-2005","695","699","0","31","","15","0","10613","28.2%","23","w","14500.66","14500.66","1083.76","1083.76","499.34","584.42","0.0","0.0","0.0","Dec-2019","365.73","Jan-2020","Nov-2019","699","695","0","","1","Joint App","61191","19.75","","0","0","38231","1","2","0","1","18","27618","90","1","5","3346","56","37600","1","0","4","6","2549","20285","31.7","0","0","32","168","1","1","2","1","","0","","0","7","8","9","10","2","13","19","8","15","0","0","0","1","95.7","0","0","0","68423","38231","29700","30823","11799","695","699","Jun-2010","0","2","7","11.2","1","6","0","0","","N","","","","","","","","","","","","","","","N","","","","","",""
"159608320","","7000","7000","7000"," 36 months"," 17.74%","252.16","C","C5","Conductor","5 years","RENT","80000","Not Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159608320","","debt_consolidation","Debt consolidation","015xx","MA","15.74","0","May-2014","680","684","1","","","6","0","5787","82.7%","11","w","6547.34","6547.34","749.58","749.58","452.66","296.92","0.0","0.0","0.0","Dec-2019","252.16","Jan-2020","Nov-2019","689","685","0","","1","Individual","","","","0","0","29342","3","3","3","4","1","23555","65","1","2","3345","68","7000","1","8","2","6","4890","255","92.9","0","0","64","18","2","1","0","18","","1","","0","1","2","1","1","9","2","2","2","6","0","0","0","4","100","100","0","0","43095","29342","3600","36095","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"158781588","","18400","18400","18400"," 36 months"," 16.12%","647.99","C","C3","General Manager","10+ years","RENT","40000","Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=158781588","","credit_card","Credit card refinancing","750xx","TX","9.84","0","May-1989","660","664","0","75","","1","0","16160","99.1%","6","w","17181.32","17181.32","1927.49","1927.49","1218.68","708.81","0.0","0.0","0.0","Dec-2019","647.99","Jan-2020","Nov-2019","649","645","0","","1","Individual","","","","0","0","16160","0","0","0","0","101","0","","0","0","16160","99","16300","0","0","0","0","16160","140","99.1","0","0","175","364","266","101","0","364","","","","0","1","1","1","2","4","1","2","1","1","0","0","0","0","80","100","0","0","16300","16160","16300","0","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159303292","","32000","32000","32000"," 36 months"," 11.02%","1047.95","B","B2","Resident Physician","7 years","OWN","72000","Not Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159303292","","credit_card","Credit card refinancing","488xx","MI","34.72","0","Aug-2005","665","669","0","","","17","0","28766","37%","64","w","29716.91","29716.91","3124.26","3124.26","2283.09","841.17","0.0","0.0","0.0","Dec-2019","1047.95","Jan-2020","Nov-2019","664","660","0","","1","Individual","","","","0","0","507087","2","3","2","2","8","478321","44","3","4","12448","40","77700","2","3","8","6","29829","46045","38.4","0","0","169","169","6","6","1","6","","8","","0","8","9","12","13","44","14","19","9","17","0","0","0","5","100","41.7","0","0","471294","507087","74800","393594","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159342350","","37000","37000","37000"," 60 months"," 11.71%","817.64","B","B3","Marketing manager ","7 years","MORTGAGE","90000","Source Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159342350","","debt_consolidation","Debt consolidation","028xx","RI","11.65","0","Aug-2000","720","724","0","","","9","0","30272","99.3%","14","w","35616.85","35616.85","2428.85","2428.85","1383.15","1045.70","0.0","0.0","0.0","Dec-2019","817.64","Jan-2020","Nov-2019","789","785","0","","1","Individual","","","","0","0","362661","0","5","0","0","67","18236","35","0","1","16725","59","30500","0","3","1","1","40296","0","100.7","0","0","229","84","14","14","1","14","","7","","0","2","3","2","3","9","3","4","3","9","0","0","0","0","100","100","0","0","416472","48508","29800","52313","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159596546","","24000","24000","24000"," 36 months"," 10.33%","778.14","B","B1","Accounting Specialist","10+ years","OWN","130000","Not Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159596546","","debt_consolidation","Debt consolidation","140xx","NY","16.78","0","Jul-2003","705","709","0","","","10","0","31121","68.5%","34","w","22270.58","22270.58","2320.65","2320.65","1729.42","591.23","0.0","0.0","0.0","Dec-2019","778.14","Jan-2020","Nov-2019","739","735","0","","1","Individual","","","","0","0","72620","2","2","0","3","16","41499","82","2","5","19933","75","45400","3","1","0","8","7262","4403","87.4","0","0","150","194","4","4","2","5","","13","","0","4","5","4","9","11","8","21","5","10","0","0","0","2","100","50","0","0","96327","72620","35000","50927","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159323106","","18000","18000","18000"," 60 months"," 18.62%","463.18","D","D1","","n/a","MORTGAGE","24000","Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159323106","","debt_consolidation","Debt consolidation","177xx","PA","151.3","0","May-2003","705","709","1","","","14","0","32760","71.4%","23","w","17439.76","17439.76","1370.92","1370.92","560.24","810.68","0.0","0.0","0.0","Dec-2019","463.18","Jan-2020","Nov-2019","714","710","0","","1","Joint App","169000","39.91","Verified","0","0","260278","2","6","3","4","3","70386","66","1","1","7756","67","45900","2","2","4","5","18591","9765","66.3","0","0","196","107","1","1","3","1","","3","","0","4","6","5","6","12","7","8","6","14","0","0","0","4","100","60","0","0","331061","103146","29000","107381","120834","665","669","May-2003","2","3","28","61.6","16","12","0","0","","N","","","","","","","","","","","","","","","N","","","","","",""
"159607386","","21275","21275","21275"," 60 months"," 13.08%","484.95","B","B5","Web Developer/Designer","1 year","MORTGAGE","76000","Source Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159607386","","medical","Medical expenses","283xx","NC","11.61","0","Apr-2000","690","694","0","73","82","15","1","10436","22.1%","36","w","20404.49","20404.49","1539.39","1539.39","870.51","668.88","0.0","0.0","0.0","Dec-2019","484.95","Jan-2020","Nov-2019","729","725","0","78","1","Individual","","","","0","0","15910","1","1","0","1","18","5474","46","1","7","2138","27","47300","1","0","3","8","1061","9862","17.8","0","0","135","233","2","2","3","21","","0","","0","1","6","5","8","12","14","21","6","15","0","0","0","1","97.1","0","1","0","59300","15910","12000","12000","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159602788","","15950","15950","15950"," 36 months"," 20.55%","597.24","D","D2","Project Manager","8 years","MORTGAGE","105000","Source Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159602788","","credit_card","Credit card refinancing","776xx","TX","27.61","0","Sep-2006","710","714","0","","","10","0","11978","22.8%","38","w","14960.97","14960.97","1773.51","1773.51","989.03","784.48","0.0","0.0","0.0","Dec-2019","597.24","Jan-2020","Nov-2019","679","675","0","","1","Individual","","","","0","0","288166","0","3","0","3","18","114203","","1","3","9489","23","52500","0","0","5","6","28817","40522","22.8","0","0","156","78","9","9","2","9","","1","","0","5","5","6","7","25","6","11","5","10","0","0","0","1","100","33.3","0","0","362222","126181","52500","138559","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159216296","","16000","16000","16000"," 60 months","  8.19%","325.88","A","A4","Business Agent","2 years","MORTGAGE","116000","Not Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159216296","","credit_card","Credit card refinancing","554xx","MN","15.69","0","Feb-2004","720","724","0","","","25","0","44990","20.7%","68","w","15345.51","15345.51","970.36","970.36","654.49","315.87","0.0","0.0","0.0","Dec-2019","325.88","Jan-2020","Nov-2019","739","735","0","","1","Individual","","","","0","0","53953","1","2","0","0","31","8963","30","2","5","10900","22","217000","0","4","2","6","2158","171110","19.3","0","0","140","187","9","2","4","9","","3","","0","13","14","22","32","20","23","44","14","25","0","0","0","3","100","0","0","0","246763","53953","212000","29763","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159314503","","40000","40000","40000"," 36 months","  7.56%","1245.36","A","A3","Child Life Specialist","< 1 year","MORTGAGE","58240","Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159314503","","debt_consolidation","Debt consolidation","809xx","CO","33.59","0","Feb-1990","730","734","0","","","3","0","28586","86.6%","21","w","37001.11","37001.11","3719.28","3719.28","2998.89","720.39","0.0","0.0","0.0","Dec-2019","1245.36","Jan-2020","Nov-2019","714","710","0","","1","Joint App","178240","24.61","","0","0","30135","0","1","0","0","69","1549","6","0","0","20828","51","33000","0","1","0","0","10045","4414","86.6","0","0","157","355","93","33","2","127","","","","0","2","2","2","7","9","2","9","2","3","0","0","0","0","100","100","0","0","59381","30135","33000","26381","136665","700","704","Feb-1990","0","3","10","78.9","3","14","0","0","","N","","","","","","","","","","","","","","","N","","","","","",""
"159172134","","40000","40000","40000"," 60 months"," 13.08%","911.77","B","B5","","n/a","MORTGAGE","0","Not Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159172134","","home_improvement","Home improvement","370xx","TN","","0","Nov-1996","840","844","0","","","13","0","585232","8.9%","22","w","38557.08","38557.08","2706.24","2706.24","1442.92","1263.32","0.0","0.0","0.0","Dec-2019","911.77","Jan-2020","Nov-2019","794","790","0","","1","Joint App","600000","16.01","Not Verified","0","0","1333997","0","1","0","0","26","43520","","0","2","576016","9","703400","0","0","0","2","102615","98034","7.3","0","0","26","274","17","17","3","17","","22","","0","5","7","7","10","1","10","18","7","13","0","0","0","0","100","14.3","0","0","1603821","628752","679900","66421","94520","675","679","Mar-1999","1","3","20","57.2","4","22","0","0","","N","","","","","","","","","","","","","","","N","","","","","",""
"159479955","","9000","9000","9000"," 36 months","  6.46%","275.68","A","A1","Fish Hatchery Manager","10+ years","OWN","51000","Source Verified","Sep-2019","Current","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159479955","","credit_card","Credit card refinancing","406xx","KY","17.76","0","Jun-2003","705","709","0","","","6","0","10915","93.3%","18","w","8549.19","8549.19","548.13","548.13","450.81","97.32","0.0","0.0","0.0","Dec-2019","275.68","Jan-2020","Nov-2019","759","755","0","","1","Individual","","","","0","0","33138","0","2","1","2","10","22223","71","0","0","4036","77","11700","0","3","1","2","5523","0","100.9","0","0","181","195","34","10","0","34","","10","","0","1","4","1","6","6","4","12","4","6","0","0","0","1","100","100","0","0","43094","33138","4000","31394","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"159523765","","15950","15950","15950"," 36 months"," 28.80%","666.67","D","D5","","< 1 year","RENT","125000","Source Verified","Sep-2019","Late (31-120 days)","n","https://lendingclub.com/browse/loanDetail.action?loan_id=159523765","","debt_consolidation","Debt consolidation","331xx","FL","20.75","0","May-2006","680","684","0","","","11","0","32528","47.3%","45","w","15950.00","15950.00","0.0","0.00","0.00","0.00","0.0","0.0","0.0","","0.0","Jan-2020","Nov-2019","674","670","0","","1","Individual","","","","0","0","50854","1","1","0","2","13","18326","64","5","5","14173","52","68800","2","1","4","8","4623","29864","51.7","0","0","91","160","4","4","1","4","","7","","0","6","7","9","27","9","10","33","7","11","0","0","0","6","100","33.3","0","0","97398","50854","61800","28598","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
